GENE	r2	GENEID	POP	HSQ	HSQSE	HSQP	VG	VGSE
PLD6	0.06653241720593994	ENSG00000179598.4	EUR	0.094829	0.031295	2.184e-5	0.094173	0.032973
PLEC	0.04972896263615574	ENSG00000178209.10	EUR	0.03678	0.022096	0.0274	0.035121	0.021456
PLEK	6.9471066407333504e-6	ENSG00000115956.9	EUR	0.01252	0.017822	0.2897	0.012071	0.017221
PLEKHA1	0.10587965078639863	ENSG00000107679.9	EUR	0.1373	0.037904	4.202e-5	0.133262	0.039825
PLEKHA5	0.0023299490093345717	ENSG00000052126.9	EUR	0.045497	0.023854	0.0298	0.045442	0.024241
PLEKHA7	0.01446564367811804	ENSG00000166689.9	EUR	0.027353	0.027312	0.1946	0.025814	0.025978
PLEKHB2	1.348474537717145e-5	ENSG00000115762.12	EUR	-0.00886	0.005384	0.203	-0.008805	0.005382
PLEKHF1	0.005119784029543449	ENSG00000166289.4	EUR	0.022507	0.019124	0.1351	0.021304	0.0182
PLEKHF2	0.09650073656455314	ENSG00000175895.3	EUR	0.122811	0.034387	2.236e-6	0.102666	0.03096
PLEKHH2	0.025614771412793957	ENSG00000152527.9	EUR	0.010685	0.017126	0.3087	0.010971	0.017619
PLEKHH3	0.007947327582829651	ENSG00000068137.9	EUR	0.106918	0.044159	6.152e-4	0.110748	0.04971
PLEKHJ1	7.480280377708598e-5	ENSG00000104886.3	EUR	0.003472	0.024438	0.4582	0.00355	0.024992
PLEKHM2	0.04186131793920455	ENSG00000116786.7	EUR	0.063974	0.023149	4.539e-4	0.062627	0.023482
PLEKHN1	0.0027999957925196714	ENSG00000187583.5	EUR	0.007153	0.017485	0.3702	0.006786	0.016601
PLIN2	0.04047412367163013	ENSG00000147872.5	EUR	0.011466	0.017226000000000002	0.2994	0.010951	0.016476
PLK1S1	0.03058026373964982	ENSG00000088970.10	EUR	0.022345	0.015226	0.05093	0.022148	0.015234
PLSCR1	0.0031132413229960016	ENSG00000188313.7	EUR	0.026831	0.02448	0.1659	0.025579	0.023573
PLTP	0.07740771937495333	ENSG00000100979.10	EUR	0.176702	0.043758	3.072e-6	0.177827	0.050265
PLXDC2	0.17237813038133568	ENSG00000120594.9	EUR	0.29835	0.049103	1.35e-9	0.317553	0.066653
PLXNA1	0.026923000074216465	ENSG00000114554.7	EUR	0.05389	0.028794	0.006785	0.052332	0.028669
PLXNC1	0.018858091443120294	ENSG00000136040.4	EUR	0.079601	0.040775	0.04128	0.078077	0.041083
PMFBP1	6.982922869001169e-6	ENSG00000118557.11	EUR	0.00913	0.013301	0.2703	0.008863	0.012948
PML	0.004484027730426677	ENSG00000140464.14	EUR	0.043961	0.026428	0.04928	0.043486	0.026616
PMM1	0.17198472561699324	ENSG00000100417.7	EUR	0.106884	0.036907	1.068e-13	0.098303	0.037155
PMM2	0.002262316426239567	ENSG00000140650.7	EUR	0.066688	0.03118	0.02787	0.065863	0.03158
PMS2	1.4152762173216541e-4	ENSG00000122512.9	EUR	0.016906	0.015962	0.1821	0.015822	0.014998
PMVK	0.033931566646856454	ENSG00000163344.5	EUR	0.058706	0.028034	0.01464	0.059185	0.029062
PNKP	0.08189549092073754	ENSG00000039650.4	EUR	0.154794	0.050318	4.891e-4	0.156454	0.055917
PNMA1	0.08208197206874142	ENSG00000176903.3	EUR	0.11439	0.041644	1.022e-4	0.112849	0.04467
PNMAL1	0.3596062128009033	ENSG00000182013.11	EUR	0.38954	0.04972	0	0.374185	0.06837
PNO1	0.08122755702467518	ENSG00000115946.3	EUR	0.142494	0.039978	1.157e-5	0.144212	0.044423
PNP	0.31937093521875715	ENSG00000198805.6	EUR	0.349895	0.056598999999999997	1.141e-7	0.367183	0.075782
PNPLA2	0.0013563947006344369	ENSG00000177666.11	EUR	-0.003825	0.010649	0.4058	-0.003867	0.010769
PNPO	0.03503138632392383	ENSG00000108439.4	EUR	0.054513	0.027924	0.002071	0.054992	0.029165
PNPT1	0.05732857326779743	ENSG00000138035.9	EUR	0.072715	0.029837	0.003024	0.071269	0.030418
PNRC1	0.011500742531507962	ENSG00000146278.9	EUR	0.017112	0.013689	0.1232	0.017167	0.013808
POFUT1	1.933038614365711e-4	ENSG00000101346.6	EUR	-0.009695	0.003128	0.1273	-0.009737	0.003201
POFUT2	6.424192623036055e-4	ENSG00000186866.12	EUR	-0.006325	0.017267	0.4016	-0.006459	0.017646
POGLUT1	0.2581251752469362	ENSG00000163389.6	EUR	0.370205	0.053718	2.205e-13	0.398708	0.083177
POGZ	0.006335749459600515	ENSG00000143442.16	EUR	0.008637	0.013117	0.2935	0.008473	0.012888
POLA2	0.019574113712492305	ENSG00000014138.4	EUR	0.104368	0.029786	3.308e-8	0.096551	0.029751
POLB	0.0024351051197851635	ENSG00000070501.6	EUR	-0.014462	0.004632	0.1215	-0.014222	0.004656
POLDIP2	0.01886413258513333	ENSG00000004142.6	EUR	0.024844	0.016163	0.06464	0.023822	0.015669
POLDIP3	0.003115766810298195	NA	NA	NA	NA	NA	NA	NA
POLE	0.002223136541996856	ENSG00000177084.9	EUR	-0.012954	0.003099	0.1656	-0.011917	0.002958
POLE4	0.12933041913701007	ENSG00000115350.7	EUR	0.123318	0.033237	3.471e-6	0.115932	0.033734
POLI	0.3128975554948728	ENSG00000101751.5	EUR	0.306226	0.056814	0	0.305992	0.078021
POLM	6.329704527454805e-4	ENSG00000122678.10	EUR	-0.017273	0.002167	0.09129	-0.017183	0.002399
POLR1A	7.204146194915183e-4	ENSG00000068654.11	EUR	-0.013539	0.002913	0.08242	-0.013555	0.003037
POLR1B	0.0018130789704337857	ENSG00000125630.10	EUR	-0.016009	0.005832	0.1334	-0.016067	0.005972
POLR1D	0.10642303950789665	ENSG00000186184.11	EUR	0.241326	0.053377	2.58e-7	0.250074	0.065838
POLR1E	0.4156272155857922	ENSG00000137054.10	EUR	0.285143	0.043802	0	0.225581	0.04548
POLR2A	0.0011742811671764165	ENSG00000181222.10	EUR	0.008534	0.020363	0.3731	0.00841	0.020081
POLR2B	0.0037176657385765495	ENSG00000047315.10	EUR	0.020649	0.024106	0.2496	0.020607	0.024149
POLR2C	0.02445612593470299	ENSG00000102978.8	EUR	0.010706	0.031651	0.3991	0.010704	0.031671
POLR2E	0.01244823152051135	ENSG00000099817.6	EUR	0.022486	0.032358	0.2947	0.022477	0.032429
POLR2I	0.04333559819994762	ENSG00000105258.3	EUR	0.063613	0.026677	0.003452	0.061405	0.026717
POLR2J	0.0060141590805725415	ENSG00000005075.11	EUR	0.024047	0.018398	0.1063	0.02423	0.018726
POLR2L	0.0010494130584540217	ENSG00000177700.5	EUR	-0.004682	0.021819	0.4425	-0.00458	0.02135
POLR3A	3.4757075372538794e-4	ENSG00000148606.6	EUR	0.029977	0.02596	0.1564	0.030812	0.026912
POLR3B	0.10281476265362403	ENSG00000013503.4	EUR	0.078049	0.0234	2.375e-6	0.075501	0.023747
POLR3D	0.0013291669353014774	ENSG00000168495.7	EUR	-0.004351	0.008832	0.375	-0.004405	0.008947
POLR3F	2.793231339952823e-5	NA	NA	NA	NA	NA	NA	NA
POLR3G	0.04445945044187811	ENSG00000113356.6	EUR	0.023252	0.026897	0.2301	0.02245	0.02616
POLR3H	0.054982708549719796	ENSG00000100413.12	EUR	0.041896	0.01901	1.113e-5	0.039814	0.018618
POLR3K	0.02054665198896666	ENSG00000161980.5	EUR	0.019534	0.018449	0.1818	0.018902	0.017966
POMC	0.02919463610822149	ENSG00000115138.6	EUR	0.062155	0.030571	0.01829	0.063935	0.032579
POMT2	0.002512728481465065	ENSG00000009830.6	EUR	0.014176	0.01966	0.2804	0.014265	0.019832
POMZP3	0.6948894947152771	ENSG00000146707.9	EUR	0.593268	0.043302	0	0.401561	0.06629
POP1	2.2447584937760894e-5	ENSG00000104356.6	EUR	0.00842	0.022255	0.3863	0.008354	0.022102
POP5	0.0442219459181127	ENSG00000167272.6	EUR	0.193592	0.043191	2.137e-11	0.191381	0.050316
POPDC2	0.00901928332046561	ENSG00000121577.9	EUR	-0.003344	0.015668	0.442	-0.003333	0.015621
POR	0.04105733717684596	ENSG00000127948.9	EUR	0.06333	0.046522	0.1375	0.064489	0.048761
POT1	4.246016986942236e-5	ENSG00000128513.8	EUR	-0.010221	0.002622	0.1166	-0.010192	0.002691
POTEKP	0.0011404740359550782	ENSG00000204434.4	EUR	-0.009409	0.004003	0.1668	-0.009541	0.004108
PPA1	0.0732671445623275	ENSG00000180817.6	EUR	0.200865	0.042566	5.982e-8	0.195273	0.046787
PPA2	0.019181633826272606	ENSG00000138777.15	EUR	0.064629	0.033241	0.01214	0.066395	0.03536
PPAP2A	0.08773971714939868	ENSG00000067113.12	EUR	0.074638	0.02933	7.073e-4	0.075607	0.031225
PPAPDC2	0.014488590725518074	ENSG00000205808.3	EUR	0.078589	0.037291	0.02951	0.074542	0.036375
PPARG	0.1276058431171987	ENSG00000132170.15	EUR	0.114447	0.035714	5.851e-7	0.113529	0.038129
PPARGC1B	1.0938686015197258e-6	ENSG00000155846.12	EUR	-0.008849	0.018085	0.3744	-0.008916	0.018238
PPAT	3.8815608073229e-4	ENSG00000128059.4	EUR	-0.004921	0.016175	0.4185	-0.004911	0.016149
PPCDC	0.03929537785511564	ENSG00000138621.7	EUR	0.092583	0.036438	2.23e-4	0.095616	0.040383
PPDPF	0.01614175877921507	ENSG00000125534.4	EUR	0.06628	0.043153	0.08434	0.064759	0.043202
PPFIA1	0.001234500437386794	ENSG00000131626.10	EUR	5.2e-4	0.01808	0.4914	5.11e-4	0.017769
PPFIBP2	0.01337850263085826	ENSG00000166387.6	EUR	-0.012396	0.016134	0.3121	-0.012469	0.016257
PPHLN1	0.024486138845299245	ENSG00000134283.12	EUR	0.016504	0.01669	0.1868	0.016105	0.016356
PPIA	7.447621042362856e-7	ENSG00000196262.8	EUR	0.098565	0.034512	2.021e-4	0.099752	0.037145
PPIE	0.008161292793025571	ENSG00000084072.12	EUR	0.023334	0.022399	0.1597	0.02331	0.022537
PPIF	0.0031093851446918723	ENSG00000108179.8	EUR	0.008207	0.014489	0.3299	0.007559	0.013357
PPIG	0.00573181703240806	ENSG00000138398.10	EUR	-0.009537	0.009639	0.2945	-0.009263	0.009394
PPIL1	0.13104047947517153	ENSG00000137168.7	EUR	0.188982	0.047399	1.181e-7	0.184882	0.052764
PPIL2	1.739764795674151e-4	ENSG00000100023.12	EUR	-9e-5	0.01311	0.498	-8.2e-5	0.01203
PPIL3	0.5317489591084438	ENSG00000240344.4	EUR	0.357255	0.045786	0	0.259403	0.047764
PPIL4	0.05071900542486977	ENSG00000131013.3	EUR	0.055807	0.025299	5.163e-4	0.055557	0.026042
PPIP5K2	0.05310184406238469	ENSG00000145725.11	EUR	0.071456	0.030157	2.754e-5	0.070964	0.031358
PPM1B	0.0037106272836998607	ENSG00000138032.16	EUR	0.049001	0.028292	0.02422	0.047562	0.02811
PPM1E	0.0018116989670365043	ENSG00000175175.3	EUR	0.002617	0.007836	0.3958	0.002691	0.008063
PPM1N	0.057863814649284605	ENSG00000213889.5	EUR	0.051375	0.024345	0.01579	0.050407	0.024411
PPP1CA	9.699400035208187e-4	ENSG00000172531.9	EUR	-0.012645	9e-6	0.004599	-0.011178	5.96e-4
PPP1CB	0.00383013472504759	ENSG00000213639.5	EUR	0.028085	0.02144	0.1202	0.02857	0.021993
PPP1CC	0.0033329971883979243	ENSG00000186298.7	EUR	0.012592	0.015804	0.2477	0.01236	0.015577
PPP1R11	0.008873959302989926	ENSG00000204619.3	EUR	-0.005806	0.007513	0.3226	-0.005694	0.007382
PPP1R12C	0.004042400650458973	ENSG00000125503.6	EUR	0.036286	0.027253	0.1411	0.036512	0.02764
PPP1R13B	0.014397634394255482	ENSG00000088808.11	EUR	0.043434	0.026067	0.01068	0.043526	0.026668
PPP1R14C	0.00398881061850873	ENSG00000198729.4	EUR	0.004021	0.014333	0.415	0.004149	0.014793
PPP1R15A	0.0036922617580674847	ENSG00000087074.5	EUR	0.025268	0.018787	0.1176	0.023682	0.017726
PPP1R16B	0.01612208260122576	ENSG00000101445.4	EUR	0.018849	0.016728	0.1548	0.018569	0.016574
PPP1R2	0.007473162776141924	ENSG00000184203.3	EUR	0.001412	0.026359	0.4843	0.001326	0.02475
PPP1R7	0.006215995376436409	ENSG00000115685.10	EUR	-0.004928	0.010894	0.3838	-0.005004	0.011067
PPP2CB	0.004997365714308954	ENSG00000104695.7	EUR	2e-5	0.010956	0.4995	2e-5	0.010848
PPP2R1A	0.05754172220919077	ENSG00000105568.11	EUR	0.060534	0.029579	0.02648	0.060384	0.030243
PPP2R3C	0.023855409034690293	ENSG00000092020.6	EUR	0.040378	0.024538	0.04187	0.039289	0.024327
PPP2R4	0.019473253338893104	ENSG00000119383.15	EUR	0.051102	0.02676	0.0305	0.05173	0.02765
PPP2R5A	0.07473611871690516	ENSG00000066027.4	EUR	0.103852	0.033161	3.706e-5	0.100339	0.034161
PPP2R5C	1.1525116564601345e-4	ENSG00000078304.12	EUR	-0.02005	2.65e-4	0.03072	-0.020161	0.001121
PPP4C	3.355478811052801e-4	ENSG00000149923.9	EUR	0.036801	0.04161	0.2372	0.037446	0.043076
PPP4R1	0.028950430295721356	ENSG00000154845.10	EUR	0.123342	0.043056	0.004535	0.121906	0.045234
PPP4R4	0.07865603680538248	ENSG00000119698.7	EUR	0.090466	0.031856	0.0033	0.090122	0.03294
PPP6C	1.9896074824511472e-4	ENSG00000119414.7	EUR	0.001039	0.00664	0.4525	0.001062	0.00679
PPP6R1	0.03125854943003659	ENSG00000105063.12	EUR	0.015333	0.028506	0.3396	0.015564	0.028984
PPP6R2	0.0011458029533422047	ENSG00000100239.10	EUR	-0.015912	0.010885	0.2288	-0.015771	0.010879
PPP6R3	3.2252206186599843e-4	NA	NA	NA	NA	NA	NA	NA
PPT1	0.07924197279510643	ENSG00000131238.10	EUR	0.073352	0.02269	2.616e-6	0.069389	0.022404
PPTC7	0.007201150751446005	ENSG00000196850.4	EUR	0.004134	0.007428	0.3202	0.004203	0.00756
PPWD1	0.018441277454841747	ENSG00000113593.7	EUR	0.006382	0.010015	0.2919	0.006327	0.00994
PQLC3	0.04465457479433942	ENSG00000162976.8	EUR	0.113947	0.043335	0.003671	0.110172	0.044264
PRCP	0.0017571869498299482	ENSG00000137509.5	EUR	0.047018	0.028212	0.04194	0.047119	0.028894
PRDM10	0.0012257610217961308	ENSG00000170325.10	EUR	-0.044777	0.002623	0.04082	-0.044922	0.003706
PRDM4	0.0493465242365029	ENSG00000110851.7	EUR	0.06521	0.027105	0.007322	0.065485	0.028145
PRDX5	0.07753253522484334	ENSG00000126432.9	EUR	0.08683	0.033998	7.433e-4	0.082817	0.034431
PREP	0.0016075156754498244	ENSG00000085377.8	EUR	0.019155	0.016625	0.1556	0.019283	0.016814
PREPL	0.018469223066878763	ENSG00000138078.11	EUR	0.013532	0.012605	0.1374	0.013676	0.012796
PRIM1	0.0010289694467868948	ENSG00000198056.6	EUR	-0.012728	0.004939	0.1287	-0.012662	0.004983
PRIM2	0.002519126402760326	ENSG00000146143.11	EUR	0.005376	0.009966	0.3284	0.005361	0.00995
PRKAA1	0.0021635532089085076	ENSG00000132356.7	EUR	0.118545	0.055391	0.00367	0.123709	0.062361
PRKAB1	0.1822752530185736	ENSG00000111725.5	EUR	0.29412	0.066819	1.762e-5	0.329178	0.095571
PRKACB	0.00820522037756812	ENSG00000142875.13	EUR	0.052217	0.030559	0.03848	0.052665	0.031545
PRKCB	5.729558614763062e-5	ENSG00000166501.8	EUR	0.101706	0.042537	0.01243	0.096978	0.042461
PRKD1	0.25089657204628213	ENSG00000184304.10	EUR	0.261424	0.040679	1.554e-15	0.249895	0.047749
PRKD2	0.0752668775513824	ENSG00000105287.7	EUR	0.109595	0.033457	9.563e-5	0.106993	0.034681
PRKD3	0.06266665341310945	ENSG00000115825.5	EUR	0.128564	0.035997	1.01e-5	0.127125	0.038511
PRKRA	0.02666927656247532	ENSG00000180228.8	EUR	0.035364	0.022618	0.05284	0.033826	0.021979
PRLR	0.048974465128557534	ENSG00000113494.12	EUR	0.082855	0.027551	7.758e-4	0.080116	0.027806
PRMT10	9.799481330785627e-4	ENSG00000164169.8	EUR	-0.012049	0.005203	0.1568	-0.012213	0.005332
PRMT2	0.03538176573631995	ENSG00000160310.11	EUR	0.054432	0.033056	0.02394	0.053505	0.033624
PRMT3	0.006472771272768912	ENSG00000185238.7	EUR	-0.002099	0.018644	0.4679	-0.00191	0.01697
PRMT7	0.15196916388482135	ENSG00000132600.11	EUR	0.221598	0.056943	9.615e-14	0.219786	0.069318
PRPF18	0.0074106324357311746	ENSG00000165630.8	EUR	0.063912	0.027965	0.01083	0.062381	0.02791
PRPF38A	3.8005140202334106e-4	ENSG00000134748.11	EUR	-0.005777	0.007197	0.3451	-0.005727	0.007161
PRPF4	0.04732851119845089	ENSG00000136875.7	EUR	0.074129	0.031583	0.007	0.074091	0.032615
PRPF6	0.2931087265472932	ENSG00000101161.6	EUR	0.294959	0.046459	0	0.268126	0.054679
PRPSAP1	3.077844613691862e-4	ENSG00000161542.10	EUR	0.053115	0.030463	0.04717	0.05283	0.030952
PRPSAP2	0.04948801143288034	ENSG00000141127.8	EUR	0.102939	0.032796	3.13e-8	0.099059	0.033973
PRR18	0.015064761783909331	ENSG00000176381.4	EUR	0.164685	0.054348	2.711e-4	0.167816	0.060381
PRRX1	0.018490036807187717	ENSG00000116132.7	EUR	-0.00851	0.010574	0.3172	-0.007344	0.009145
PRSS50	0.1452729597785589	ENSG00000206549.7	EUR	0.321612	0.066521	1.085e-9	0.370535	0.104417
PRTFDC1	7.1223320785568844e-6	ENSG00000099256.12	EUR	0.050075	0.02732	0.02899	0.049317	0.027454
PSAP	0.0028333774328591498	ENSG00000197746.7	EUR	0.002984	0.016406	0.4467	0.003035	0.016688
PSD4	0.09046320644638228	ENSG00000125637.10	EUR	0.059544	0.042209000000000003	0.05475	0.060387	0.044046
PSEN1	0.0034699263268595246	ENSG00000080815.13	EUR	-0.005183	0.014569	0.4053	-0.005202	0.014631
PSEN2	0.007838453399194445	ENSG00000143801.12	EUR	0.052809	0.027424	0.01842	0.051655	0.027548
PSIP1	0.04419351276505715	ENSG00000164985.9	EUR	0.14084	0.046664	4.995e-4	0.139344	0.050885
PSMA2	6.975973854496043e-7	ENSG00000106588.6	EUR	-0.020026	0.007423	0.1055	-0.019401	0.007317
PSMA4	0.006405743707782184	ENSG00000041357.11	EUR	0.020261	0.017726	0.1444	0.020463	0.017997
PSMA7	0.004267127915057242	ENSG00000101182.10	EUR	-0.041373	4.94e-4	0.03551	-0.041094	0.002274
PSMB1	0.004388259103350592	ENSG00000008018.7	EUR	-0.007913	0.005153	0.2225	-0.008005	0.005243
PSMB10	9.37816816715384e-5	NA	NA	NA	NA	NA	NA	NA
PSMB2	4.8650520441811945e-4	ENSG00000126067.7	EUR	0.001787	0.0054729999999999996	0.395	0.001674	0.005131
PSMB8	0.0050488727391022345	ENSG00000204264.4	EUR	0.017729	0.017107	0.1885	0.017168	0.016636
PSMB9	0.03690293810981475	ENSG00000240065.2	EUR	0.082111	0.033732	0.002484	0.081375	0.03489
PSMC5	0.041370209007508374	ENSG00000087191.7	EUR	0.061866	0.025163	2.565e-4	0.059248	0.025126
PSMD13	0.007281105351031575	ENSG00000185627.12	EUR	-0.014108	0.01047	0.239	-0.01422	0.010622
PSME1	0.0039416904783178735	ENSG00000092010.10	EUR	0.074491	0.038103	0.03178	0.075788	0.040032
PSMF1	0.07114863620867416	ENSG00000125818.10	EUR	0.073576	0.031271	0.01668	0.07289	0.031714
PSMG1	0.004944867237072969	ENSG00000183527.6	EUR	0.01185	0.014623	0.2533	0.011762	0.014545
PSPC1	8.888906185846575e-5	ENSG00000121390.12	EUR	-0.0074400000000000004	0.004942	0.2315	-0.007172	0.004788
PSPH	0.010823139192675144	ENSG00000146733.9	EUR	0.139607	0.03888	1.397e-8	0.135812	0.042288
PSRC1	0.013754202858326695	ENSG00000134222.11	EUR	-0.011924	0.007957	0.222	-0.011765	0.007902
PSTPIP1	0.0759781375517541	ENSG00000140368.8	EUR	0.118539	0.050481	8.104e-7	0.118741	0.055988
PTBP2	0.05276047374001362	ENSG00000117569.12	EUR	0.046669	0.021376	0.006659	0.047561	0.022343
PTCD1	0.004118851930518874	ENSG00000106246.9	EUR	-0.003329	0.006896	0.38	-0.002984	0.006186
PTCD3	6.077401376228105e-4	ENSG00000132300.14	EUR	0.022355	0.018232	0.118	0.022348	0.01839
PTDSS1	0.0019456874409809176	ENSG00000156471.8	EUR	0.018654	0.01801	0.1908	0.017779	0.01724
PTER	0.2624856469295155	ENSG00000165983.9	EUR	0.352888	0.048713	0	0.338223	0.064078
PTGER4	0.06358896649232425	ENSG00000171522.5	EUR	0.053104	0.021265	0.002035	0.053438	0.022056
PTGIR	0.060369531424377114	ENSG00000160013.3	EUR	0.098931	0.039614	0.004356	0.099421	0.041792
PTGR1	0.0790804176861773	ENSG00000106853.11	EUR	0.153683	0.049506	1.403e-4	0.157423	0.056199
PTGR2	0.008214388533453522	ENSG00000140043.6	EUR	0.01438	0.022346	0.3088	0.014325	0.02235
PTGS1	0.005586412482401997	ENSG00000095303.10	EUR	0.022781	0.026256	0.2303	0.022972	0.026599
PTHLH	0.07639645909311615	ENSG00000087494.10	EUR	0.125943	0.038729	3.887e-5	0.118493	0.03952
PTK2B	0.004413498778243881	ENSG00000120899.12	EUR	-0.018825	0.010074	0.1605	-0.018214	0.009847
PTPLAD1	0.12409692427205475	ENSG00000074696.7	EUR	0.154287	0.045202	1.805e-12	0.149917	0.049837
PTPLB	0.03483111635569289	ENSG00000206527.5	EUR	0.103808	0.038919	0.003108	0.107385	0.042873
PTPN18	0.012756320133466462	ENSG00000072135.7	EUR	0.02327	0.017581	0.07214	0.023063	0.017606
PTPN21	0.003274873644287942	ENSG00000070778.8	EUR	0.001386	0.013306	0.469	0.001417	0.013608
PTPN23	9.600519765494145e-4	ENSG00000076201.8	EUR	9e-6	0.006007	0.5	9e-6	0.006012
PTPN7	0.023261570251768	ENSG00000143851.11	EUR	0.055424	0.032419	0.0558	0.054929	0.032859
PTPRA	0.005270684086371533	ENSG00000132670.14	EUR	0.006727	0.01614	0.3741	0.006765	0.01624
PTPRF	0.016296305464489035	ENSG00000142949.12	EUR	0.013768	0.015004	0.194	0.014043	0.015368
PTPRO	0.0025414029376951636	ENSG00000151490.9	EUR	0.083133	0.059194	0.0656	0.085542000000000007	0.063409
PTS	0.0015041103946635027	ENSG00000150787.3	EUR	-0.013807	0.005299	0.1247	-0.01294	0.005051
PTTG1IP	3.3188432680029555e-4	ENSG00000183255.7	EUR	0.045541	0.026974	0.05942	0.046467	0.027969
PUS10	0.003655269701964878	ENSG00000162927.8	EUR	0.071706	0.026279	5.597e-5	0.07151	0.027481
PUS3	0.0026734342723645677	ENSG00000110060.4	EUR	0.03926	0.031114	0.1235	0.038911	0.031281
PUS7	0.05727811327673832	ENSG00000091127.8	EUR	0.144752	0.047436	0.002321	0.141859	0.050921
PUS7L	0.027596287313044005	ENSG00000129317.10	EUR	0.102476	0.035884	1.909e-4	0.101724	0.038391
PWP1	0.02508557787407654	ENSG00000136045.5	EUR	0.037495	0.023133	0.06522	0.035486	0.022218
PWP2	1.5131507147820157e-4	ENSG00000241945.2	EUR	0.019324	0.021518	0.2325	0.019436	0.021739
PXK	0.051973667823361366	ENSG00000168297.9	EUR	0.07557	0.028328	2.141e-4	0.074001	0.02901
PXMP2	0.02667717750787192	ENSG00000176894.5	EUR	0.034286	0.01912	0.01441	0.034305	0.019448
PXMP4	9.323684429227954e-7	NA	NA	NA	NA	NA	NA	NA
PXT1	0.01877062899248824	ENSG00000179165.7	EUR	0.030091	0.020213	0.07021	0.030565	0.020728
PYCARD	0.009253799216125475	ENSG00000103490.12	EUR	0.008695	0.008502	0.1568	0.008373	0.008215
PYGB	0.0167941269781366	ENSG00000100994.7	EUR	0.160121	0.057866	1.51e-6	0.168646	0.069772
PYROXD2	0.0012718984794708953	ENSG00000119943.6	EUR	-0.01364	0.008959	0.1908	-0.013896	0.0092
QDPR	0.16122168912801937	ENSG00000151552.7	EUR	0.131186	0.060575	0.01165	0.133077	0.066329
QPCT	0.014234187580143881	ENSG00000115828.11	EUR	0.041315	0.028917000000000002	0.1017	0.042081	0.029854
QPCTL	0.060980159840685284	ENSG00000011478.6	EUR	0.094431	0.03705	0.002469	0.094798	0.039011
QRICH1	0.003146321232628971	ENSG00000198218.5	EUR	0.003435	0.005547	0.2824	0.00346	0.005595
QRSL1	0.03838599604888342	ENSG00000130348.7	EUR	0.112529	0.039779	0.001164	0.111085	0.041527
QSER1	0.010972559314169036	ENSG00000060749.9	EUR	-0.011018	0.010422	0.2866	-0.010157	0.009661
QSOX1	0.19884032586038747	ENSG00000116260.12	EUR	0.205649	0.04541	6.492e-11	0.194146	0.050574
QSOX2	0.1067788907410489	ENSG00000165661.10	EUR	0.162056	0.041426	3.08e-5	0.154124	0.043438
R3HDM1	1.7467126393448497e-4	ENSG00000048991.11	EUR	0.015054	0.014759	0.1593	0.014516	0.014342
RAB14	0.004490006232669178	ENSG00000119396.6	EUR	0.033762	0.02758	0.1085	0.033972	0.028172
RAB15	0.14572622003655167	ENSG00000139998.9	EUR	0.125954	0.032381	5.816e-10	0.121793	0.034242
RAB18	7.820847269153272e-4	ENSG00000099246.10	EUR	0.021341	0.018339	0.1288	0.021274	0.018415
RAB1B	0.023247545735380255	ENSG00000174903.9	EUR	1.01e-4	0.01101	0.4976	1.01e-4	0.011109
RAB21	0.005475165645975439	ENSG00000080371.4	EUR	-0.015536	0.006194	0.1382	-0.015199	0.00615
RAB23	0.2476052478523166	ENSG00000112210.6	EUR	0.271339	0.059365	0	0.260444	0.074803
RAB24	0.023083656920558335	ENSG00000169228.9	EUR	0.055064	0.029184	0.02373	0.055266	0.030189
RAB27A	0.002603865540790854	ENSG00000069974.10	EUR	0.01393	0.018971	0.2809	0.013463	0.018384
RAB2A	0.008544281443649233	ENSG00000104388.9	EUR	0.013506	0.01681	0.2417	0.013477	0.016824
RAB2B	0.007634799347328789	ENSG00000129472.7	EUR	0.029014	0.02759	0.2036	0.028718	0.027496
RAB31	0.45471978506267413	ENSG00000168461.6	EUR	0.54109	0.042672	0	0.52773	0.071609
RAB33B	0.058064623800305144	ENSG00000172007.5	EUR	0.100544	0.029361	2.977e-6	0.097792	0.03046
RAB38	0.0010811592943052708	ENSG00000123892.6	EUR	0.052723	0.032719	0.05744	0.053484	0.033829
RAB3GAP2	0.005763536363995978	ENSG00000118873.10	EUR	-0.005847	0.009368	0.3495	-0.004977	0.007984
RAB40B	0.013629836787329186	ENSG00000141542.6	EUR	0.038725	0.024791	0.04175	0.039156	0.02549
RAB4A	0.004146192684873516	ENSG00000168118.7	EUR	-0.009681	0.012626	0.3203	-0.009374	0.012253
RAB5A	0.028839687649120305	ENSG00000144566.5	EUR	0.038292	0.019833	0.01909	0.037743	0.01991
RAB5B	0.0046930729955146425	ENSG00000111540.10	EUR	-0.02919	5e-6	9.163e-4	-0.029029	0.001547
RAB6A	0.007380464399125196	ENSG00000175582.13	EUR	0.007709	0.013648	0.3236	0.007372	0.01307
RAB7L1	0.06480182549100327	ENSG00000117280.8	EUR	0.09932	0.033296	1.482e-4	0.097664	0.034532
RAB8B	0.008647132048424972	ENSG00000166128.8	EUR	0.003404	0.016443	0.4384	0.003383	0.016342
RABAC1	0.09503148057388827	ENSG00000105404.5	EUR	0.16753	0.058956	1.325e-5	0.178467	0.071767
RABEP1	0.00502887828483406	ENSG00000029725.11	EUR	0.045947	0.039956	0.1334	0.047297	0.04179
RABEPK	0.015694013839009976	ENSG00000136933.12	EUR	0.024209	0.014731	0.02861	0.024313	0.01501
